date,open,high,low,close,volume,date_4h,open_4h,high_4h,low_4h,close_4h,volume_4h,bb_upper_4h,bb_middle_4h,bb_lower_4h,bb_width_4h,is_width_ok_4h,is_breakout_4h,is_below_lower_4h,is_armed_4h,bb_upper,bb_middle,bb_lower,armed_active_4h,4h更新标记,4h区间,布林宽度%_4h,价格vs上轨_4h
2024-10-10 00:00:00+00:00,2370.47,2383.82,2366.87,2375.86,9710.1025,,,,,,,,,,,,,,,,2375.86,,False,★,00:00-04:00,,
2024-10-10 01:00:00+00:00,2375.87,2400.6,2375.01,2391.7,10430.5143,,,,,,,,,,,,,,,2406.1811428279893,2383.7799999999997,2361.37885717201,False,,00:00-04:00,,
2024-10-10 02:00:00+00:00,2391.7,2400.36,2391.64,2394.43,12624.2333,,,,,,,,,,,,,,,2407.3833189272996,2387.33,2367.2766810727003,False,,00:00-04:00,,
2024-10-10 03:00:00+00:00,2394.43,2398.4,2392.95,2395.3,5413.523,2024-10-10 00:00:00+00:00,2370.47,2400.6,2366.87,2395.3,38178.3731,,2395.3,,,False,False,False,False,2407.532697692502,2389.3225,2371.1123023074983,False,,00:00-04:00,,
2024-10-10 04:00:00+00:00,2395.31,2399.43,2391.12,2394.8,4017.1174,2024-10-10 00:00:00+00:00,2370.47,2400.6,2366.87,2395.3,38178.3731,,2395.3,,,False,False,False,False,2406.931960154972,2390.418,2373.9040398450284,False,★,04:00-08:00,,
2024-10-10 05:00:00+00:00,2394.79,2411.38,2392.57,2405.58,6019.7819,2024-10-10 00:00:00+00:00,2370.47,2400.6,2366.87,2395.3,38178.3731,,2395.3,,,False,False,False,False,2412.217420709397,2392.945,2373.672579290603,False,,04:00-08:00,,
2024-10-10 06:00:00+00:00,2405.58,2410.0,2400.69,2408.75,5468.4377,2024-10-10 00:00:00+00:00,2370.47,2400.6,2366.87,2395.3,38178.3731,,2395.3,,,False,False,False,False,2416.4693463196054,2395.202857142857,2373.9363679661083,False,,04:00-08:00,,
2024-10-10 07:00:00+00:00,2408.74,2408.74,2394.51,2395.8,4512.7361,2024-10-10 04:00:00+00:00,2395.31,2411.38,2391.12,2395.8,20018.0731,2396.257106781187,2395.55,2394.8428932188135,0.0005903502587603405,False,False,False,False,2414.9709702738896,2395.2775,2375.5840297261107,False,,04:00-08:00,0.06,-0.46
2024-10-10 08:00:00+00:00,2395.78,2397.64,2380.61,2381.99,7221.8433,2024-10-10 04:00:00+00:00,2395.31,2411.38,2391.12,2395.8,20018.0731,2396.257106781187,2395.55,2394.8428932188135,0.0005903502587603405,False,False,False,False,2414.2418484863733,2393.801111111111,2373.3603737358485,False,★,08:00-12:00,0.06,-0.46
2024-10-10 09:00:00+00:00,2382.0,2388.1,2368.55,2387.09,11321.074,2024-10-10 04:00:00+00:00,2395.31,2411.38,2391.12,2395.8,20018.0731,2396.257106781187,2395.55,2394.8428932188135,0.0005903502587603405,False,False,False,False,2412.863587836197,2393.13,2373.3964121638032,False,,08:00-12:00,0.06,-0.46
2024-10-10 10:00:00+00:00,2387.08,2400.7,2387.08,2397.21,6559.628,2024-10-10 04:00:00+00:00,2395.31,2411.38,2391.12,2395.8,20018.0731,2396.257106781187,2395.55,2394.8428932188135,0.0005903502587603405,False,False,False,False,2412.382812500355,2393.5009090909093,2374.6190056814635,False,,08:00-12:00,0.06,-0.46
2024-10-10 11:00:00+00:00,2397.21,2408.12,2395.05,2406.56,7394.9073,2024-10-10 08:00:00+00:00,2395.78,2408.12,2368.55,2406.56,32497.4526,2411.9430813877766,2399.22,2386.496918612223,0.01060601477795017,False,False,False,False,2414.1073995567494,2394.5891666666666,2375.070933776584,False,,08:00-12:00,1.06,-5.38
2024-10-10 12:00:00+00:00,2406.56,2408.93,2379.01,2388.01,14749.2381,2024-10-10 08:00:00+00:00,2395.78,2408.12,2368.55,2406.56,32497.4526,2411.9430813877766,2399.22,2386.496918612223,0.01060601477795017,False,False,False,False,2413.123382215824,2394.083076923077,2375.0427716303298,False,★,12:00-16:00,1.06,-5.38
2024-10-10 13:00:00+00:00,2388.01,2396.96,2373.0,2382.81,10919.6712,2024-10-10 08:00:00+00:00,2395.78,2408.12,2368.55,2406.56,32497.4526,2411.9430813877766,2399.22,2386.496918612223,0.01060601477795017,False,False,False,False,2412.538056324783,2393.277857142857,2374.017657960931,False,,12:00-16:00,1.06,-5.38
2024-10-10 14:00:00+00:00,2382.81,2388.4,2370.0,2381.82,12331.9728,2024-10-10 08:00:00+00:00,2395.78,2408.12,2368.55,2406.56,32497.4526,2411.9430813877766,2399.22,2386.496918612223,0.01060601477795017,False,False,False,False,2411.993916104249,2392.514,2373.0340838957513,False,,12:00-16:00,1.06,-5.38
2024-10-10 15:00:00+00:00,2381.82,2405.56,2376.7,2404.63,12310.9574,2024-10-10 12:00:00+00:00,2406.56,2408.93,2370.0,2404.63,50311.8395,2412.2851413189624,2400.5725,2388.859858681038,0.009758206693580086,False,False,False,False,2413.041649254104,2393.2712500000002,2373.5008507458965,False,,12:00-16:00,0.98,-7.66
2024-10-10 16:00:00+00:00,2404.62,2421.36,2389.99,2392.71,23706.7317,2024-10-10 12:00:00+00:00,2406.56,2408.93,2370.0,2404.63,50311.8395,2412.2851413189624,2400.5725,2388.859858681038,0.009758206693580086,False,False,False,False,2412.3827779046032,2393.2382352941177,2374.093692683632,False,★,16:00-20:00,0.98,-7.66
