交易序号,入场时间,入场_开盘价,入场_最高价,入场_最低价,入场_收盘价,入场_成交量,入场_4h收盘价,入场_4h上轨,入场_4h中轨,入场_4h下轨,入场_4h宽度%,入场_价格vs上轨,入场_1h上轨,入场_1h中轨,入场_1h下轨,入场_宽度达标,入场_上穿上轨,入场_Armed当根,入场_Armed持续,入场_HLH信号,入场_结构高,入场_结构低,入场_结构类型,入场信号,止损价(1%),止损距离%,出场时间,出场_收盘价,出场_4h收盘价,出场_4h下轨,出场_4h宽度%,出场_Armed状态,出场_跌破下轨,出场原因,出场详情,持仓时长(小时),盈亏点数,盈亏%,盈亏金额,盈亏状态,持仓期最高价,持仓期最低价,累计盈亏%,累计盈亏金额
29,2025-04-24 22:00:00+00:00,1760.8,1765.0,1755.94,1760.0,11450.4194,1763.1,1882.855753675163,1716.565,1550.2742463248371,19.37482748106397,-119.75575367516308,1778.4401819947263,1759.7285,1741.0168180052735,是,否,否,是,是,1765.0,1755.94,1,1,1742.4,1.0,2025-04-25 02:00:00+00:00,1744.61,1769.65,1562.0517495717525,18.77514858794003,是,否,结构转弱,低点1738.60 < 前低点1765.01,4.0,-15.3900000000001,-0.8744318181818238,-15.3900000000001,亏损,1790.5,1738.6,4.88584948490581,103.90999999999917
30,2025-04-25 14:00:00+00:00,1769.1,1813.7,1768.47,1808.34,71504.1276,1790.49,1857.2765975003856,1753.686,1650.0954024996145,11.81404168139401,-66.7865975003856,1798.0130326325552,1771.2240000000002,1744.434967367445,是,否,否,是,是,1813.7,1768.47,1,1,1790.2566,1.0,2025-04-25 16:00:00+00:00,1801.75,1806.48,1678.5419909037944,9.58651576103852,是,否,结构转弱,低点1788.11 < 前低点1801.20,2.0,-6.589999999999918,-0.3644226196401074,-6.589999999999918,亏损,1827.32,1788.11,4.521426865265703,97.31999999999925
31,2025-05-09 17:00:00+00:00,2298.16,2355.2,2294.84,2350.03,43594.0878,2301.3,2390.4993152520133,1972.625,1554.7506847479865,42.36733441500674,-89.1993152520131,2430.7086783936074,2284.315,2137.9213216063927,是,否,否,是,是,2355.2,2294.84,1,1,2326.5297,1.0,2025-05-09 19:00:00+00:00,2331.57,2331.57,1565.0785799859543,43.547487077850775,是,否,结构转弱,低点2308.78 < 前低点2328.27,2.0,-18.460000000000036,-0.7855218869546361,-18.460000000000036,亏损,2352.65,2308.78,3.7359049783110665,78.85999999999922
32,2025-05-09 22:00:00+00:00,2337.83,2346.0,2329.02,2334.47,11628.8653,2331.57,2436.3364200140454,2000.7075,1565.0785799859543,43.547487077850775,-104.76642001404525,2428.9510120469645,2317.9515,2206.951987953036,是,否,否,是,是,2346.0,2329.02,1,1,2311.1252999999997,1.0,2025-05-10 00:00:00+00:00,2326.44,2345.04,1582.1774563746214,44.07858697289455,是,否,结构转弱,低点2317.00 < 前低点2332.80,2.0,-8.029999999999745,-0.3439752920362972,-8.029999999999745,亏损,2380.66,2317.0,3.391929686274769,70.82999999999947
33,2025-05-10 05:00:00+00:00,2337.0,2355.36,2337.0,2353.08,16099.9151,2339.89,2509.4264901669576,2057.21,1604.9935098330425,43.964057161588514,-169.53649016695772,2371.618243778032,2336.418,2301.217756221969,是,否,否,是,是,2355.36,2337.0,1,1,2329.5492,1.0,2025-05-10 11:00:00+00:00,2384.75,2384.75,1650.8538926064202,43.83724313752025,是,否,结构转弱,低点2375.24 < 前低点2385.00,6.0,31.670000000000073,1.3458955921600657,31.670000000000073,盈利,2435.72,2351.15,4.737825278434835,102.49999999999955
34,2025-05-10 21:00:00+00:00,2491.03,2545.67,2491.03,2533.83,40195.7044,2499.48,2644.6038340421865,2177.191,1709.7781659578131,42.93723738911163,-145.12383404218645,2534.869850135977,2418.1455,2301.4211498640234,是,否,否,是,是,2545.67,2491.03,1,1,2508.4917,1.0,2025-05-11 00:00:00+00:00,2544.12,2583.23,1746.7200259477663,42.3172850079674,是,否,结构转弱,低点2504.27 < 前低点2563.68,3.0,10.289999999999964,0.4061045926522286,10.289999999999964,盈利,2608.13,2504.27,5.143929871087064,112.78999999999951
35,2025-05-11 02:00:00+00:00,2532.87,2565.74,2522.88,2543.58,41496.8479,2583.23,2684.2539740522334,2215.487,1746.7200259477663,42.3172850079674,-101.02397405223337,2602.042245690926,2470.209,2338.3757543090737,是,否,否,是,是,2565.74,2522.88,1,1,2518.1441999999997,1.0,2025-05-11 06:00:00+00:00,2521.26,2537.63,1806.79766796702,39.57953340410979,是,否,结构转弱,低点2504.41 < 前低点2536.74,4.0,-22.31999999999971,-0.877503361403994,-22.31999999999971,亏损,2562.47,2504.41,4.26642650968307,90.4699999999998
36,2025-05-11 21:00:00+00:00,2509.9,2520.0,2497.64,2517.02,15487.8717,2508.02,2656.613213097144,2371.3865,2086.159786902856,24.05569173115762,-148.59321309714414,2562.1935544640414,2507.437,2452.6804455359584,是,否,否,是,是,2520.0,2497.64,1,1,2491.8498,1.0,2025-05-12 01:00:00+00:00,2505.45,2514.57,2145.8701117479663,20.77049034282297,是,否,结构转弱,低点2490.75 < 前低点2510.95,4.0,-11.570000000000164,-0.45967056280840696,-11.570000000000164,亏损,2548.85,2483.33,3.806755946874663,78.89999999999964
37,2025-05-13 09:00:00+00:00,2457.29,2488.45,2456.68,2484.86,32681.6521,2460.72,2601.7666667670924,2480.0530000000003,2358.3393332329083,9.81540852288979,-141.04666676709257,2512.8564032870786,2467.7,2422.543596712921,是,否,否,是,是,2488.45,2456.68,1,1,2460.0114000000003,1.0,2025-05-13 23:00:00+00:00,2679.71,2679.71,2390.0000241083444,10.66761062658963,是,否,结构转弱,低点2656.50 < 前低点2676.17,14.0,194.8499999999999,7.841488051640733,194.8499999999999,盈利,2738.5,2471.7,11.648243998515396,273.74999999999955
38,2025-05-14 18:00:00+00:00,2590.46,2614.33,2579.94,2613.49,23906.8833,2597.49,2700.637050726502,2545.483,2390.328949273497,12.19053914141262,-103.14705072650213,2703.5483266310525,2630.8115,2558.074673368947,是,否,否,是,是,2614.33,2579.94,1,1,2587.3550999999998,1.0,2025-05-14 20:00:00+00:00,2600.26,2605.1,2391.989613270169,12.33442720894549,是,否,结构转弱,低点2597.63 < 前低点2598.58,2.0,-13.229999999999563,-0.5062196526483577,-13.229999999999563,亏损,2617.5,2597.63,11.142024345867037,260.52
